phrase,len,main_idx,pronunciation,derivation,tip
take place,2,0,/teɪk pleɪs/,take → retake,uptake; place → placement,take了place，活动才有场所
in place,2,1,/ɪn pleɪs/,in → inside; place → placement,in place表示在正确的位置
look forward to,3,0,/lʊk ˈfɔːwəd tuː/,look → looking; forward → forwards; to → too,look forward to表示期待
take care,2,0,/teɪk keər/,take → retake,uptake; care → careful,take care表示小心，注意安全
take off,2,0,/teɪk ɒf/,take → retake,uptake; off → offer,take off表示起飞或者脱下
put on,2,0,/pʊt ɒn/,put → puts,put; on → onto,put on表示穿上衣服或者上演
put off,2,0,/pʊt ɒf/,put → puts,put; off → offer,put off表示推迟或者拖延
get up,2,0,/ɡet ʌp/,get → gets,got; up → upper,get up表示起床或者站起来
get down,2,0,/ɡet daʊn/,get → gets,got; down → down,get down表示下来或者写下
stand up,2,0,/stænd ʌp/,stand → stands,stood; up → upper,stand up表示站起来或者起立
sit down,2,0,/sɪt daʊn/,sit → sits,sat; down → down,sit down表示坐下或者就座
go out,2,0,/ɡəʊ aʊt/,go → goes,went; out → outside,go out表示出去或者熄灭
come in,2,0,/kʌm ɪn/,come → comes,came; in → inside,come in表示进来或者进入
turn on,2,0,/tɜːn ɒn/,turn → turns,turned; on → onto,turn on表示打开电器或者开启
turn off,2,0,/tɜːn ɒf/,turn → turns,turned; off → offer,turn off表示关闭电器或者关闭
take away,2,0,/teɪk əˈweɪ/,take → retake,uptake; away → away,take away表示拿走或者带走
bring back,2,0,/brɪŋ bæk/,bring → brings,brought; back → back,bring back表示带回或者回忆起
give up,2,0,/ɡɪv ʌp/,give → gives,gave; up → upper,give up表示放弃或者投降
keep on,2,0,/kiːp ɒn/,keep → keeps,kept; on → onto,keep on表示继续做某事
look after,2,0,/lʊk ˈɑːftə/,look → looking; after → after,look after表示照顾或者照看
look at,2,0,/lʊk æt/,look → looking; at → at,look at表示看...或者注视
talk to,2,0,/tɔːk tuː/,talk → talks,talked; to → too,talk to表示和...说话或者交谈
talk about,2,0,/tɔːk əˈbaʊt/,talk → talks,talked; about → about,talk about表示谈论关于...
think of,2,0,/θɪŋk ɒv/,think → thinks,thought; of → of,think of表示想起或者想到
think about,2,0,/θɪŋk əˈbaʊt/,think → thinks,thought; about → about,think about表示考虑或者思考