word,lemma,pronunciation,derivation,tip
take,take,/teɪk/,take → retake,uptake,take表示拿取，take notes就是拿笔记下
place,place,/pleɪs/,place → placement,place是地方，in place就是在正确的位置
meeting,meet,/ˈmiːtɪŋ/,meet → meeting,meet是见面，meeting就是见面的地方
will,will,/wɪl/,will → willing,will表示将会，也可以作名词表示意志
tomorrow,tomorrow,/təˈmɒrəʊ/,,tomorrow是明天，由to + morrow组成
in,in,/ɪn/,in → inside,in表示在...里面
look,look,/lʊk/,look → looking,look表示看，look at就是看...
forward,forward,/ˈfɔːwəd/,forward → forwards,forward表示向前
to,to,/tuː/,to → too,to表示到...或者向...
the,the,/ðiː/,the表示特指某个事物
and,and,/ænd/,and表示和，连接两个并列的事物
or,or,/ɔːr/,or表示或者，连接两个选择
but,but,/bʌt/,but表示但是，连接两个相反的事物
is,is,/ɪz/,be → is,am,are,is是be动词的第三人称单数形式
are,are,/ɑːr/,be → is,am,are,are是be动词的复数形式
was,was,/wɒz/,be → was,were,was是be动词的过去式
were,were,/wɜːr/,be → was,were,were是be动词的过去式复数形式
have,have,/hæv/,have → has,had,have表示有
has,has,/hæz/,have → has,had,has是have的第三人称单数形式
had,had,/hæd/,have → has,had,had是have的过去式
do,do,/duː/,do → does,did,do是助动词，表示做
does,does,/dʌz/,do → does,did,does是do的第三人称单数形式
did,did,/dɪd/,do → does,did,did是do的过去式
go,go,/ɡəʊ/,go → goes,went,go表示去
goes,goes,/ɡəʊz/,go → goes,went,goes是go的第三人称单数形式
went,went,/went/,go → goes,went,went是go的过去式
come,come,/kʌm/,come → comes,came,come表示来
comes,comes,/kʌmz/,come → comes,came,comes是come的第三人称单数形式
came,came,/keɪm/,come → comes,came,came是come的过去式